customer_id,recency,frequency,monetary,segment
1000,248,1,1228.72,0
1003,89,1,1681.96,0
1008,49,1,1546.42,3
1009,100,3,4616.63,2
1014,318,1,2423.92,0
1026,350,1,244.3,1
1028,138,1,2328.44,0
1029,155,1,357.02,1
1031,129,2,2231.42,2
1033,333,1,571.06,1
1035,137,1,325.77,1
1036,51,1,395.17,1
1038,52,1,4503.98,0
1039,15,2,1852.98,3
1040,14,2,7417.69,2
1041,121,1,1296.48,0
1042,139,3,4330.68,2
1044,73,2,1008.6199999999999,2
1047,126,1,922.92,1
1054,184,1,2322.16,0
1056,79,1,345.71,1
1058,222,2,6257.73,2
1062,94,2,5304.35,2
1065,223,1,7889.36,0
1066,142,1,3654.18,0
1067,119,1,2032.07,0
1071,132,1,1331.9,0
1076,342,1,1449.62,0
1077,89,1,1959.6,0
1078,215,1,490.0,1
1079,107,1,4252.77,0
1080,124,1,2111.96,0
1082,225,1,1601.42,0
1083,166,1,1056.76,1
1084,355,1,3648.04,0
1086,339,1,1236.24,0
1087,218,1,222.61,1
1089,212,1,2169.46,0
1090,216,1,3331.6,0
1092,166,1,2987.93,0
1095,50,2,3681.54,2
1096,136,2,4912.93,2
1099,88,1,2717.82,0
1100,141,2,788.77,2
1101,42,1,1339.45,3
1105,327,1,1244.58,0
1110,41,1,2098.22,3
1111,223,1,1839.86,0
1112,323,1,2540.56,0
1115,214,1,1763.68,0
1118,351,1,4522.5,0
1121,227,1,1894.59,0
1124,68,2,1684.02,2
1126,126,2,2051.36,2
1130,196,1,1026.78,1
1131,182,1,1150.86,1
1132,124,2,3476.2200000000003,2
1134,53,3,7061.16,2
1138,29,1,924.05,3
1145,56,1,997.25,3
1146,32,1,2950.09,3
1148,351,1,843.58,1
1150,234,1,2340.49,0
1151,64,1,673.69,1
1152,109,1,772.78,1
1153,86,1,1069.29,1
1155,115,2,4908.51,2
1158,64,1,2864.37,0
1159,288,1,5605.16,0
1160,240,1,2058.0,0
1162,336,1,1483.14,0
1163,81,1,403.7,1
1164,180,1,1126.58,1
1165,31,2,1357.8700000000001,2
1167,18,2,3059.2,2
1169,148,2,947.29,2
1172,265,1,332.26,1
1174,171,1,1507.02,0
1175,128,2,2666.8900000000003,2
1177,142,1,756.39,1
1183,263,1,5294.04,0
1184,181,2,3314.81,2
1187,26,2,9145.76,2
1188,20,3,1550.69,2
1190,39,2,1456.45,2
1193,360,1,1818.94,0
